Film setTrailer,2020-05-05T21:28:55.064618
Film addDistributie,2020-05-05T21:28:55.084261
Film adugaCheltuiala,2020-05-05T21:28:55.084432
Film addDistributie,2020-05-05T21:28:55.084639
Film adugaCheltuiala,2020-05-05T21:28:55.084767
Film addDistributie,2020-05-05T21:28:55.084903
Film adugaCheltuiala,2020-05-05T21:28:55.085026
Film addDistributie,2020-05-05T21:28:55.085188
Film adugaCheltuiala,2020-05-05T21:28:55.085311
Film addDistributie,2020-05-05T21:28:55.085465
Film adugaCheltuiala,2020-05-05T21:28:55.085589
Film addEchipa,2020-05-05T21:28:55.087346
Film adugaCheltuiala,2020-05-05T21:28:55.087484
Film addEchipa,2020-05-05T21:28:55.087616
Film adugaCheltuiala,2020-05-05T21:28:55.087743
Film addEchipa,2020-05-05T21:28:55.087861
Film adugaCheltuiala,2020-05-05T21:28:55.087975
Film addEchipa,2020-05-05T21:28:55.088109
Film adugaCheltuiala,2020-05-05T21:28:55.088237
Film addEchipa,2020-05-05T21:28:55.088360
Film adugaCheltuiala,2020-05-05T21:28:55.088477
Film setIncasari,2020-05-05T21:28:55.088594
Film addLocatie,2020-05-05T21:28:55.089137
Film getTotalIncasari,2020-05-05T21:28:56.104099
Film getProfit,2020-05-05T21:28:56.104307
Film getTotalIncasari,2020-05-05T21:28:56.104422
Film plataDrepturi,2020-05-05T21:28:56.106267
Film plataPublicitate,2020-05-05T21:28:56.106389
Film getIncasari,2020-05-05T21:28:56.106500
Film getTotalIncasari,2020-05-05T21:28:56.106787
Film getProfit,2020-05-05T21:28:56.106938
Film getTotalIncasari,2020-05-05T21:28:56.107048
Film adugaCheltuiala,2020-05-05T21:28:56.107816
Film getProfit,2020-05-05T21:28:56.108203
Film getTotalIncasari,2020-05-05T21:28:56.108312
Film getDistributie,2020-05-05T21:28:57.109053
Film getEchipa,2020-05-05T21:28:57.124494
Actor getNume,2020-05-05T21:28:58.127124
Actor getPrenume,2020-05-05T21:28:58.127594
Actor getNume,2020-05-05T21:28:58.128451
Actor getPrenume,2020-05-05T21:28:58.128806
Actor getNume,2020-05-05T21:28:58.129359
Actor getPrenume,2020-05-05T21:28:58.129765
Actor getNume,2020-05-05T21:28:58.130138
Actor getPrenume,2020-05-05T21:28:58.130475
Actor getNume,2020-05-05T21:28:58.130913
Actor getPrenume,2020-05-05T21:28:58.131263
Actor getNume,2020-05-05T21:28:58.131603
Actor getPrenume,2020-05-05T21:28:58.131918
Actor getNume,2020-05-05T21:28:58.132246
Actor getPrenume,2020-05-05T21:28:58.132618
Actor getNume,2020-05-05T21:28:58.132934
Actor getPrenume,2020-05-05T21:28:58.133287
Actor getNume,2020-05-05T21:28:58.133418
Actor getPrenume,2020-05-05T21:28:58.133533
Actor getNume,2020-05-05T21:28:58.133652
Actor getPrenume,2020-05-05T21:28:58.133767
Actor getNume,2020-05-05T21:28:58.133910
Actor getPrenume,2020-05-05T21:28:58.134028
Actor getNume,2020-05-05T21:28:58.134151
Actor getPrenume,2020-05-05T21:28:58.134264
Actor getNume,2020-05-05T21:28:58.134391
Actor getPrenume,2020-05-05T21:28:58.134515
Actor getNume,2020-05-05T21:28:58.134633
Actor getPrenume,2020-05-05T21:28:58.134742
Actor getNume,2020-05-05T21:28:58.134851
Actor getPrenume,2020-05-05T21:28:58.134958
Actor getNume,2020-05-05T21:28:58.135063
Actor getPrenume,2020-05-05T21:28:58.135163
Actor getNume,2020-05-05T21:28:58.135275
Actor getPrenume,2020-05-05T21:28:58.135372
Actor getNume,2020-05-05T21:28:58.135481
Actor getPrenume,2020-05-05T21:28:58.135578
Angajat getNume,2020-05-05T21:28:58.135701
Angajat getPrenume,2020-05-05T21:28:58.135784
Actor getNume,2020-05-05T21:28:58.135876
Actor getPrenume,2020-05-05T21:28:58.135967
Angajat getNume,2020-05-05T21:28:58.136054
Angajat getPrenume,2020-05-05T21:28:58.136138
Actor getNume,2020-05-05T21:28:58.136224
Actor getPrenume,2020-05-05T21:28:58.136362
Angajat getNume,2020-05-05T21:28:58.136470
Angajat getPrenume,2020-05-05T21:28:58.136567
Actor getNume,2020-05-05T21:28:58.136670
Actor getPrenume,2020-05-05T21:28:58.136766
Angajat getNume,2020-05-05T21:28:58.136869
Angajat getPrenume,2020-05-05T21:28:58.136973
Actor getNume,2020-05-05T21:28:58.137098
Actor getPrenume,2020-05-05T21:28:58.137225
Angajat getNume,2020-05-05T21:28:58.137333
Angajat getPrenume,2020-05-05T21:28:58.137428
Actor getNume,2020-05-05T21:28:58.137531
Actor getPrenume,2020-05-05T21:28:58.137627
Angajat getNume,2020-05-05T21:28:58.137747
Angajat getPrenume,2020-05-05T21:28:58.137851
Actor getNume,2020-05-05T21:28:58.137943
Actor getPrenume,2020-05-05T21:28:58.138034
Angajat getNume,2020-05-05T21:28:58.138130
Angajat getPrenume,2020-05-05T21:28:58.138218
Actor getNume,2020-05-05T21:28:58.138323
Actor getPrenume,2020-05-05T21:28:58.138419
Angajat getNume,2020-05-05T21:28:58.138520
Angajat getPrenume,2020-05-05T21:28:58.138612
Angajat getNume,2020-05-05T21:28:58.138707
Angajat getPrenume,2020-05-05T21:28:58.138792
Angajat getNume,2020-05-05T21:28:58.138893
Angajat getPrenume,2020-05-05T21:28:58.138985
Actor getNume,2020-05-05T21:28:58.139078
Actor getPrenume,2020-05-05T21:28:58.139174
Angajat getNume,2020-05-05T21:28:58.139275
Angajat getPrenume,2020-05-05T21:28:58.139361
Actor getNume,2020-05-05T21:28:58.139451
Actor getPrenume,2020-05-05T21:28:58.139535
Angajat getNume,2020-05-05T21:28:58.139635
Angajat getPrenume,2020-05-05T21:28:58.139719
Angajat getNume,2020-05-05T21:28:58.139810
Angajat getPrenume,2020-05-05T21:28:58.139896
Angajat getNume,2020-05-05T21:28:58.139991
Angajat getPrenume,2020-05-05T21:28:58.140078
Angajat getNume,2020-05-05T21:28:58.140166
Angajat getPrenume,2020-05-05T21:28:58.140272
Angajat getNume,2020-05-05T21:28:58.140367
Angajat getPrenume,2020-05-05T21:28:58.140454
Actor getNume,2020-05-05T21:28:58.140543
Actor getPrenume,2020-05-05T21:28:58.140632
Angajat getNume,2020-05-05T21:28:58.140729
Angajat getPrenume,2020-05-05T21:28:58.140819
Actor getNume,2020-05-05T21:28:58.140917
Actor getPrenume,2020-05-05T21:28:58.141012
Angajat getNume,2020-05-05T21:28:58.141117
Angajat getPrenume,2020-05-05T21:28:58.141218
Angajat getNume,2020-05-05T21:28:58.141310
Angajat getPrenume,2020-05-05T21:28:58.141396
Angajat getNume,2020-05-05T21:28:58.141487
Angajat getPrenume,2020-05-05T21:28:58.141574
